TABLE NO.  1
 ID          TIME        IPRED       DV          EVID        CMT
  1.0000E+00  0.0000E+00  1.0000E-05  1.0000E-05  0.0000E+00  4.0000E+00
  1.0000E+00  1.0000E-01  1.6127E-05  1.6127E-05  0.0000E+00  4.0000E+00
  1.0000E+00  2.0000E-01  6.2605E-05  6.2605E-05  0.0000E+00  4.0000E+00
  1.0000E+00  3.0000E-01  2.4263E-04  2.4263E-04  0.0000E+00  4.0000E+00
  1.0000E+00  4.0000E-01  9.4032E-04  9.4032E-04  0.0000E+00  4.0000E+00
  1.0000E+00  5.0000E-01  3.6442E-03  3.6442E-03  0.0000E+00  4.0000E+00
  1.0000E+00  6.0000E-01  1.4123E-02  1.4123E-02  0.0000E+00  4.0000E+00
  1.0000E+00  7.0000E-01  5.4735E-02  5.4735E-02  0.0000E+00  4.0000E+00
  1.0000E+00  8.0000E-01  2.1213E-01  2.1213E-01  0.0000E+00  4.0000E+00
  1.0000E+00  9.0000E-01  8.2210E-01  8.2210E-01  0.0000E+00  4.0000E+00
  1.0000E+00  1.0000E+00  3.1861E+00  3.1861E+00  0.0000E+00  4.0000E+00
  1.0000E+00  1.1000E+00  1.2348E+01  1.2348E+01  0.0000E+00  4.0000E+00
  1.0000E+00  1.2000E+00  4.7852E+01  4.7852E+01  0.0000E+00  4.0000E+00
  1.0000E+00  1.3000E+00  1.8543E+02  1.8543E+02  0.0000E+00  4.0000E+00
  1.0000E+00  1.4000E+00  7.1832E+02  7.1832E+02  0.0000E+00  4.0000E+00
  1.0000E+00  1.5000E+00  2.7791E+03  2.7791E+03  0.0000E+00  4.0000E+00
  1.0000E+00  1.6000E+00  1.0700E+04  1.0700E+04  0.0000E+00  4.0000E+00
  1.0000E+00  1.7000E+00  4.0441E+04  4.0441E+04  0.0000E+00  4.0000E+00
  1.0000E+00  1.8000E+00  1.4283E+05  1.4283E+05  0.0000E+00  4.0000E+00
  1.0000E+00  1.9000E+00  4.0703E+05  4.0703E+05  0.0000E+00  4.0000E+00
  1.0000E+00  2.0000E+00  7.2356E+05  7.2356E+05  0.0000E+00  4.0000E+00
  1.0000E+00  2.1000E+00  7.2351E+05  7.2351E+05  0.0000E+00  4.0000E+00
  1.0000E+00  2.2000E+00  4.8397E+05  4.8397E+05  0.0000E+00  4.0000E+00
  1.0000E+00  2.3000E+00  2.6022E+05  2.6022E+05  0.0000E+00  4.0000E+00
  1.0000E+00  2.4000E+00  1.2398E+05  1.2398E+05  0.0000E+00  4.0000E+00
  1.0000E+00  2.5000E+00  5.4851E+04  5.4851E+04  0.0000E+00  4.0000E+00
  1.0000E+00  2.6000E+00  2.3090E+04  2.3090E+04  0.0000E+00  4.0000E+00
  1.0000E+00  2.7000E+00  9.3801E+03  9.3801E+03  0.0000E+00  4.0000E+00
  1.0000E+00  2.8000E+00  3.7104E+03  3.7104E+03  0.0000E+00  4.0000E+00
  1.0000E+00  2.9000E+00  1.4380E+03  1.4380E+03  0.0000E+00  4.0000E+00
  1.0000E+00  3.0000E+00  5.4869E+02  5.4869E+02  0.0000E+00  4.0000E+00
  1.0000E+00  3.1000E+00  2.0716E+02  2.0716E+02  0.0000E+00  4.0000E+00
  1.0000E+00  3.2000E+00  7.8038E+01  7.8038E+01  0.0000E+00  4.0000E+00
  1.0000E+00  3.3000E+00  3.0026E+01  3.0026E+01  0.0000E+00  4.0000E+00
  1.0000E+00  3.4000E+00  1.2723E+01  1.2723E+01  0.0000E+00  4.0000E+00
  1.0000E+00  3.5000E+00  7.1705E+00  7.1705E+00  0.0000E+00  4.0000E+00
  1.0000E+00  3.6000E+00  6.4638E+00  6.4638E+00  0.0000E+00  4.0000E+00
  1.0000E+00  3.7000E+00  8.3479E+00  8.3479E+00  0.0000E+00  4.0000E+00
  1.0000E+00  3.8000E+00  1.2478E+01  1.2478E+01  0.0000E+00  4.0000E+00
  1.0000E+00  3.9000E+00  1.9503E+01  1.9503E+01  0.0000E+00  4.0000E+00
  1.0000E+00  4.0000E+00  3.0891E+01  3.0891E+01  0.0000E+00  4.0000E+00
  1.0000E+00  4.1000E+00  4.9133E+01  4.9133E+01  0.0000E+00  4.0000E+00
  1.0000E+00  4.2000E+00  7.8223E+01  7.8223E+01  0.0000E+00  4.0000E+00
  1.0000E+00  4.3000E+00  1.2444E+02  1.2444E+02  0.0000E+00  4.0000E+00
  1.0000E+00  4.4000E+00  1.9750E+02  1.9750E+02  0.0000E+00  4.0000E+00
  1.0000E+00  4.5000E+00  3.1212E+02  3.1212E+02  0.0000E+00  4.0000E+00
  1.0000E+00  4.6000E+00  4.8967E+02  4.8967E+02  0.0000E+00  4.0000E+00
  1.0000E+00  4.7000E+00  7.5899E+02  7.5899E+02  0.0000E+00  4.0000E+00
