TABLE NO.  1
 TIME        DV          IPRED
  0.0000E+00  2.3500E+00 -9.2103E+00
  5.0000E+01  0.0000E+00  2.3253E+00
  5.0000E+01  0.0000E+00  2.3253E+00
  5.0000E+01  2.3677E+00  2.3253E+00
  5.4000E+01  2.9715E+00  3.0370E+00
  5.8000E+01  4.0305E+00  4.0673E+00
  6.2000E+01  4.4788E+00  4.6794E+00
  6.6000E+01  4.8425E+00  4.9657E+00
  7.0000E+01  5.3933E+00  5.1400E+00
  7.4000E+01  5.3797E+00  5.3302E+00
  7.8000E+01  5.6778E+00  5.5643E+00
  8.2000E+01  5.7356E+00  5.7994E+00
  8.6000E+01  5.9837E+00  5.9314E+00
  9.0000E+01  6.0582E+00  5.9609E+00
  9.4000E+01  5.8823E+00  5.9439E+00
  9.8000E+01  5.8629E+00  5.8876E+00
  1.0200E+02  5.7400E+00  5.7467E+00
  1.0600E+02  5.4985E+00  5.4761E+00
  1.1000E+02  5.2084E+00  5.1937E+00
  1.1400E+02  5.1740E+00  5.0320E+00
  1.1800E+02  4.9386E+00  4.9406E+00
  1.2200E+02  4.6172E+00  4.8435E+00
  1.2600E+02  4.4997E+00  4.6666E+00
  1.3000E+02  4.5354E+00  4.3771E+00
  1.3400E+02  4.1054E+00  4.1164E+00
  1.3800E+02  4.0934E+00  3.9809E+00
  1.4200E+02  3.8314E+00  3.9032E+00
  1.4600E+02  3.8171E+00  3.8145E+00
