TABLE NO.  1
 REPID       TIME        RESPONSE    SHIFT       DUR
  1.0000E+00  0.0000E+00  5.0000E-01  9.0877E-01  2.0839E+01
  1.0000E+00  2.4000E+01  5.0000E-01  9.0877E-01  2.0839E+01
  1.0000E+00  4.8000E+01  5.0000E-01  9.0877E-01  2.0839E+01
  1.0000E+00  7.2000E+01  5.0000E-01  9.0877E-01  2.0839E+01
  1.0000E+00  9.6000E+01  5.0000E-01  9.0877E-01  2.0839E+01
  1.0000E+00  1.2000E+02  5.0000E-01  9.0877E-01  2.0839E+01
  1.0000E+00  1.4400E+02  5.0000E-01  9.0877E-01  2.0839E+01
  1.0000E+00  1.6800E+02  5.0000E-01  9.0877E-01  2.0839E+01
  2.0000E+00  0.0000E+00  3.4363E+00  1.2760E+01  1.5238E+01
  2.0000E+00  2.4000E+01  3.4363E+00  1.2760E+01  1.5238E+01
  2.0000E+00  4.8000E+01  3.4363E+00  1.2760E+01  1.5238E+01
  2.0000E+00  7.2000E+01  3.4363E+00  1.2760E+01  1.5238E+01
  2.0000E+00  9.6000E+01  3.4363E+00  1.2760E+01  1.5238E+01
  2.0000E+00  1.2000E+02  3.4363E+00  1.2760E+01  1.5238E+01
  2.0000E+00  1.4400E+02  3.4363E+00  1.2760E+01  1.5238E+01
  2.0000E+00  1.6800E+02  3.4363E+00  1.2760E+01  1.5238E+01
  3.0000E+00  0.0000E+00  2.4755E+00  2.0083E+01  2.3824E+01
  3.0000E+00  2.4000E+01  2.4755E+00  2.0083E+01  2.3824E+01
  3.0000E+00  4.8000E+01  2.4755E+00  2.0083E+01  2.3824E+01
  3.0000E+00  7.2000E+01  2.4755E+00  2.0083E+01  2.3824E+01
  3.0000E+00  9.6000E+01  2.4755E+00  2.0083E+01  2.3824E+01
  3.0000E+00  1.2000E+02  2.4755E+00  2.0083E+01  2.3824E+01
  3.0000E+00  1.4400E+02  2.4755E+00  2.0083E+01  2.3824E+01
  3.0000E+00  1.6800E+02  2.4755E+00  2.0083E+01  2.3824E+01
  4.0000E+00  0.0000E+00  5.0000E-01  8.2662E+00  6.0414E+00
  4.0000E+00  2.4000E+01  5.0000E-01  8.2662E+00  6.0414E+00
  4.0000E+00  4.8000E+01  5.0000E-01  8.2662E+00  6.0414E+00
  4.0000E+00  7.2000E+01  5.0000E-01  8.2662E+00  6.0414E+00
  4.0000E+00  9.6000E+01  5.0000E-01  8.2662E+00  6.0414E+00
  4.0000E+00  1.2000E+02  5.0000E-01  8.2662E+00  6.0414E+00
  4.0000E+00  1.4400E+02  5.0000E-01  8.2662E+00  6.0414E+00
  4.0000E+00  1.6800E+02  5.0000E-01  8.2662E+00  6.0414E+00
  5.0000E+00  0.0000E+00  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  5.0000E-01  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  1.0000E+00  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  1.5000E+00  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  2.0000E+00  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  2.5000E+00  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  3.0000E+00  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  3.5000E+00  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  4.0000E+00  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  4.5000E+00  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  5.0000E+00  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  5.5000E+00  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  6.0000E+00  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  6.5000E+00  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  7.0000E+00  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  7.5000E+00  5.0000E-01  7.8708E+00  1.2926E+01
  5.0000E+00  8.0000E+00  6.2557E-01  7.8708E+00  1.2926E+01
  5.0000E+00  8.5000E+00  1.1093E+00  7.8708E+00  1.2926E+01
  5.0000E+00  9.0000E+00  1.5840E+00  7.8708E+00  1.2926E+01
  5.0000E+00  9.5000E+00  2.0427E+00  7.8708E+00  1.2926E+01
  5.0000E+00  1.0000E+01  2.4787E+00  7.8708E+00  1.2926E+01
  5.0000E+00  1.0500E+01  2.8855E+00  7.8708E+00  1.2926E+01
  5.0000E+00  1.1000E+01  3.2572E+00  7.8708E+00  1.2926E+01
  5.0000E+00  1.1500E+01  3.5881E+00  7.8708E+00  1.2926E+01
  5.0000E+00  1.2000E+01  3.8735E+00  7.8708E+00  1.2926E+01
  5.0000E+00  1.2500E+01  4.1092E+00  7.8708E+00  1.2926E+01
  5.0000E+00  1.3000E+01  4.2916E+00  7.8708E+00  1.2926E+01
  5.0000E+00  1.3500E+01  4.4181E+00  7.8708E+00  1.2926E+01
  5.0000E+00  1.4000E+01  4.4868E+00  7.8708E+00  1.2926E+01
  5.0000E+00  1.4500E+01  4.4967E+00  7.8708E+00  1.2926E+01
  5.0000E+00  1.5000E+01  4.4477E+00  7.8708E+00  1.2926E+01
  5.0000E+00  1.5500E+01  4.3405E+00  7.8708E+00  1.2926E+01
  5.0000E+00  1.6000E+01  4.1766E+00  7.8708E+00  1.2926E+01
  5.0000E+00  1.6500E+01  3.9585E+00  7.8708E+00  1.2926E+01
