TABLE NO.  1
 ID          DOSTIMW     TIME        ADDLTIME    TSTATEW     A1          A4          A5          ADDL        ADDLA
  1.000E+02   0.000E+00   0.000E+00   0.000E+00   0.000E+00   1.000E+02   0.000E+00   0.000E+00  -1.000E+02   0.000E+00
  1.000E+02   0.000E+00   7.999E+02   3.199E+02   3.120E+02   4.867E+01   2.983E+02   6.525E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.000E+02   3.200E+02   3.200E+02   1.484E+02   2.981E+02   0.000E+00   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.010E+02   3.210E+02   3.200E+02   1.068E+02   2.956E+02   5.919E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.020E+02   3.220E+02   3.210E+02   8.484E+01   2.923E+02   5.499E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.030E+02   3.230E+02   3.220E+02   7.238E+01   2.884E+02   5.148E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.040E+02   3.240E+02   3.230E+02   6.461E+01   2.841E+02   4.838E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.050E+02   3.250E+02   3.240E+02   5.919E+01   2.946E+02   1.068E+02   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.060E+02   3.260E+02   3.250E+02   5.499E+01   2.987E+02   8.484E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.070E+02   3.270E+02   3.260E+02   5.148E+01   2.994E+02   7.238E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.079E+02   3.279E+02   3.270E+02   4.867E+01   2.983E+02   6.525E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.080E+02   3.280E+02   3.279E+02   4.838E+01   2.981E+02   6.461E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.090E+02   3.290E+02   3.280E+02   4.555E+01   2.956E+02   5.919E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.100E+02   3.300E+02   3.290E+02   4.294E+01   2.923E+02   5.499E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.110E+02   3.310E+02   3.300E+02   4.049E+01   2.884E+02   5.148E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.120E+02   3.320E+02   3.310E+02   3.820E+01   2.841E+02   4.838E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.130E+02   3.330E+02   3.325E+02   3.604E+01   2.794E+02   4.555E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.140E+02   3.340E+02   3.330E+02   3.400E+01   2.744E+02   4.294E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.150E+02   3.350E+02   3.340E+02   3.208E+01   2.691E+02   4.049E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.160E+02   3.360E+02   3.350E+02   3.027E+01   2.637E+02   3.820E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.180E+02   3.380E+02   3.360E+02   2.695E+01   2.523E+02   3.400E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.200E+02   3.400E+02   3.380E+02   2.400E+01   2.405E+02   3.027E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.220E+02   3.420E+02   3.400E+02   2.137E+01   2.285E+02   2.695E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.240E+02   3.440E+02   3.420E+02   1.903E+01   2.164E+02   2.400E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.260E+02   3.460E+02   3.440E+02   1.694E+01   2.044E+02   2.137E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.280E+02   3.480E+02   3.460E+02   1.508E+01   1.927E+02   1.903E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   8.300E+02   3.500E+02   3.480E+02   1.343E+01   1.812E+02   1.694E+01   0.000E+00   4.000E+01
  1.000E+02   0.000E+00   0.000E+00   0.000E+00   0.000E+00   1.000E+02   0.000E+00   0.000E+00   1.000E+02   0.000E+00
  1.000E+02   0.000E+00   7.999E+02   7.999E+02   7.920E+02   4.867E+01   2.983E+02   6.525E+01   0.000E+00   0.000E+00
  1.000E+02   0.000E+00   8.000E+02   8.000E+02   8.000E+02   1.484E+02   2.981E+02   0.000E+00   0.000E+00   0.000E+00
  1.000E+02   0.000E+00   8.010E+02   8.010E+02   8.000E+02   1.068E+02   2.956E+02   5.919E+01   0.000E+00   0.000E+00
  1.000E+02   0.000E+00   8.020E+02   8.020E+02   8.010E+02   8.484E+01   2.923E+02   5.499E+01   0.000E+00   0.000E+00
  1.000E+02   0.000E+00   8.030E+02   8.030E+02   8.020E+02   7.238E+01   2.884E+02   5.148E+01   0.000E+00   0.000E+00
  1.000E+02   0.000E+00   8.040E+02   8.040E+02   8.030E+02   6.461E+01   2.841E+02   4.838E+01   0.000E+00   0.000E+00
